perceelnr;Geomorfologie;Geom_code;Bodem profiel;Bo_code;GWT;Landgebruik;deelgebied;Hellingperc;helling_deg;L_parcel;Buisdr;Sloot_Greppel;max_L_tot_sloot;Boring_ID;D_aquifer;kD_aquifer;s_aquifer;c_aquitard;spreidingslengte;Perc_spreiding;perc_Spr_cor
225;Grondmorenerug;10B13ydc;Gooreerdgronden;pZn23x;III;loofbos;11;-1.1;0.630228156;243;0;Sloot;115;B35A0298;0.5;0.3;;1075;18.6;16;16
226;Grondmorenerug;10B13ydc;Gooreerdgronden;pZn23x;III;Bebouwing;41;-1.1;0.630228156;95;0;Greppel;105;B35A0298;0.5;0.3;;1075;18.6;18;18
227;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;Bebouwing;18;-0.7;0.401063906;97;0;Greppel;31;B35A1233;1.5;1.2;;1075;50.9;164;100
228;Droogdal;22R21ydl;Veldpodzolgronden;Hn21x;V;loofbos;8;-0.8;0.458356458;198;0;Sloot;85;B35A0299;0.75;1.875;;1075;46.4;55;55
229;Dalvormige laagte;22R23;Veldpodzolgronden;Hn21x;V;grasland overig;11;-1;0.572938698;149;0;Sloot;64;B35A0300;0.2;0.3;;1075;18.6;29;29
230;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21x;V;grasland agrarisch;8;-1.1;0.630228156;117;0;Sloot;92;B35A0293;2;4.8;;1075;95.9;104;100
231;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;8;-0.7;0.401063906;162;0;Sloot;92;B35A0293;2;4.8;;1075;95.9;104;100
232;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;33;-0.2;0.114591406;221;1;Sloot;48;B35A0299;0.75;1.875;;1075;46.4;97;97
233;Grondmorenerug;10B13ydc;Beekeerdgronden;pZg23x;III;loofbos;33;-0.8;0.458356458;185;0;Sloot;82;B35A0335;1.5;0.0096;;1075;3.7;5;5
234;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;33;-0.4;0.229181896;269;1;Greppel;109;B35A0299;0.75;1.875;;1075;46.4;43;43
235;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;gemengd bos;41;-0.7;0.401063906;139;0;Greppel;102;B35A0299;0.75;1.875;;1075;46.4;46;46
236;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;grasland agrarisch;41;-0.8;0.458356458;327;0;Greppel;81;B35A0299;0.75;1.875;;1075;46.4;57;57
237;Grondmorenerug;10B13ydc;Gooreerdgronden;pZn23x;III;grasland agrarisch;41;-0.4;0.229181896;140;0;Greppel;46;B35A1233;1.5;0.48;;1075;32.2;70;70
238;Grondmorenerug;10B13ydc;Gooreerdgronden;pZn23x;III;Bebouwing;41;-0.7;0.401063906;119;0;Greppel;59;B35A1233;1.5;0.48;;1075;32.2;55;55
239;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;41;-0.4;0.229181896;192;1;Sloot;101;B35A0299;0.75;1.875;;1075;46.4;46;46
240;Grondmorenerug;10B13ydc;Veldpodzolgronden;Hn21x;V;bouwland;36;-0.7;0.401063906;265;0;Greppel;93;B35A0256;0.4;0.6;;1075;26.3;28;28
